{'n_target': 1000, 'pi_target': 0.2, 'iter': 9, 'acc-pilot-test': 0.9670000076293945, 'acc-pilot-train': 0.9933500289916992, 'acc-rw-test': 0.9789999723434448, 'acc-rw-train': 0.9860000014305115, 'acc-ls-test': 0.9789999723434448, 'acc-ls-train': 0.9948999881744385, 'acc-oracle': 0.9670000076293945, 'gold-standard': 0.9739999771118164}
{'n_target': 10000, 'pi_target': 0.3, 'iter': 13, 'acc-pilot-test': 0.972599983215332, 'acc-pilot-train': 0.993399977684021, 'acc-rw-test': 0.9764000177383423, 'acc-rw-train': 0.9910500049591064, 'acc-ls-test': 0.9753000140190125, 'acc-ls-train': 0.988099992275238, 'acc-oracle': 0.972599983215332, 'gold-standard': 0.9710000157356262}
{'n_target': 500, 'pi_target': 0.5, 'iter': 12, 'acc-pilot-test': 0.9800000190734863, 'acc-pilot-train': 0.9898999929428101, 'acc-rw-test': 0.9559999704360962, 'acc-rw-train': 0.9919999837875366, 'acc-ls-test': 0.9800000190734863, 'acc-ls-train': 0.989799976348877, 'acc-oracle': 0.9800000190734863, 'gold-standard': 0.9639999866485596}
{'n_target': 20000, 'pi_target': 0.4, 'iter': 8, 'acc-pilot-test': 0.9708999991416931, 'acc-pilot-train': 0.9926999807357788, 'acc-rw-test': 0.972350001335144, 'acc-rw-train': 0.989799976348877, 'acc-ls-test': 0.970300018787384, 'acc-ls-train': 0.9925000071525574, 'acc-oracle': 0.9708999991416931, 'gold-standard': 0.9679999947547913}
{'n_target': 500, 'pi_target': 0.5, 'iter': 5, 'acc-pilot-test': 0.9739999771118164, 'acc-pilot-train': 0.9863499999046326, 'acc-rw-test': 0.9800000190734863, 'acc-rw-train': 0.9941999912261963, 'acc-ls-test': 0.9739999771118164, 'acc-ls-train': 0.9865000247955322, 'acc-oracle': 0.9739999771118164, 'gold-standard': 0.9670000076293945}
{'n_target': 5000, 'pi_target': 0.1, 'iter': 2, 'acc-pilot-test': 0.9660000205039978, 'acc-pilot-train': 0.9894999861717224, 'acc-rw-test': 0.9728000164031982, 'acc-rw-train': 0.9863499999046326, 'acc-ls-test': 0.9779999852180481, 'acc-ls-train': 0.9581500291824341, 'acc-oracle': 0.9660000205039978, 'gold-standard': 0.9810000061988831}
{'n_target': 1000, 'pi_target': 0.5, 'iter': 15, 'acc-pilot-test': 0.9649999737739563, 'acc-pilot-train': 0.9901000261306763, 'acc-rw-test': 0.9649999737739563, 'acc-rw-train': 0.9909499883651733, 'acc-ls-test': 0.9639999866485596, 'acc-ls-train': 0.9896000027656555, 'acc-oracle': 0.9649999737739563, 'gold-standard': 0.9700000286102295}
{'n_target': 10000, 'pi_target': 0.4, 'iter': 1, 'acc-pilot-test': 0.9634000062942505, 'acc-pilot-train': 0.9855499863624573, 'acc-rw-test': 0.9750000238418579, 'acc-rw-train': 0.9924499988555908, 'acc-ls-test': 0.9646000266075134, 'acc-ls-train': 0.9861999750137329, 'acc-oracle': 0.9634000062942505, 'gold-standard': 0.9729999899864197}
{'n_target': 5000, 'pi_target': 0.2, 'iter': 15, 'acc-pilot-test': 0.9735999703407288, 'acc-pilot-train': 0.9959499835968018, 'acc-rw-test': 0.9729999899864197, 'acc-rw-train': 0.9904999732971191, 'acc-ls-test': 0.975600004196167, 'acc-ls-train': 0.9870499968528748, 'acc-oracle': 0.9735999703407288, 'gold-standard': 0.9739999771118164}
{'n_target': 1000, 'pi_target': 0.5, 'iter': 6, 'acc-pilot-test': 0.9779999852180481, 'acc-pilot-train': 0.9876000285148621, 'acc-rw-test': 0.9670000076293945, 'acc-rw-train': 0.993399977684021, 'acc-ls-test': 0.9779999852180481, 'acc-ls-train': 0.9876000285148621, 'acc-oracle': 0.9779999852180481, 'gold-standard': 0.9660000205039978}
{'n_target': 20000, 'pi_target': 0.1, 'iter': 18, 'acc-pilot-test': 0.9770500063896179, 'acc-pilot-train': 0.9925000071525574, 'acc-rw-test': 0.9799500107765198, 'acc-rw-train': 0.9702500104904175, 'acc-ls-test': 0.9801499843597412, 'acc-ls-train': 0.9524499773979187, 'acc-oracle': 0.9770500063896179, 'gold-standard': 0.9869999885559082}
{'n_target': 500, 'pi_target': 0.2, 'iter': 12, 'acc-pilot-test': 0.9760000109672546, 'acc-pilot-train': 0.9940999746322632, 'acc-rw-test': 0.9739999771118164, 'acc-rw-train': 0.9908499717712402, 'acc-ls-test': 0.9739999771118164, 'acc-ls-train': 0.972100019454956, 'acc-oracle': 0.9760000109672546, 'gold-standard': 0.9649999737739563}
